Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Company name
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,Ford
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.7,1796.0,186.0,5.0,26.7,Mercedes-Benz
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.0,2148.0,170.0,5.0,10.0,Mercedes-Benz
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5,Tata
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.5,1968.0,140.0,5.0,13.5,Audi
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.0,1497.0,78.0,5.0,1.85,Honda
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35.67,Mercedes-Benz
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.5,1248.0,88.5,7.0,8.15,Maruti
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.0,1396.0,88.7,5.0,10.5,Hyundai
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.0,4806.0,500.0,5.0,14.5,Porsche
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.0,2179.0,140.0,7.0,9.65,Mahindra
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.9,1197.0,78.9,5.0,3.48,Hyundai
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.6,1461.0,108.5,5.0,6.92,Nissan
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.0,1198.0,86.8,5.0,6.46,Honda
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.5,1968.0,187.74,5.0,29.5,Audi
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.0,1399.0,94.0,5.0,2.0,Ford
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.0,1998.0,132.0,8.0,4.5,Toyota
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.0,2494.0,102.0,7.0,11.75,Toyota
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,94.0,5.0,1.3,Hyundai
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.0,1248.0,74.0,5.0,3.75,Maruti
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.5,1193.0,88.7,5.0,4.5,Tata
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82,Honda
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8,Ford
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.0,1248.0,73.94,5.0,3.11,Maruti
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.0,1497.0,117.3,5.0,3.25,Honda
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.7,1995.0,218.0,5.0,13.9,BMW
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.3,1197.0,78.9,5.0,2.25,Hyundai
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.0,1197.0,82.0,5.0,5.75,Hyundai
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,94.0,5.0,2.1,Hyundai
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.0,1198.0,86.7,5.0,5.0,Honda
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5,Toyota
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.6,1968.0,174.33,5.0,39.58,Audi
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.0,1498.0,89.84,5.0,5.5,Ford
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.0,2179.0,140.0,7.0,8.1,Mahindra
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.0,1498.0,98.6,5.0,3.5,Honda
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.0,1199.0,73.9,5.0,2.79,Volkswagen
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.0,1493.0,110.0,5.0,3.45,Hyundai
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.0,998.0,67.1,5.0,4.45,Maruti
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.2,1598.0,103.5,5.0,2.65,Volkswagen
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8,Hyundai
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.0,1197.0,82.85,5.0,4.65,Hyundai
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.8,1198.0,67.0,7.0,3.95,Datsun
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.9,2967.0,241.4,5.0,9.8,Audi
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7,Hyundai
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41,Maruti
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.7,1197.0,78.9,5.0,3.9,Toyota
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.7,2993.0,270.9,5.0,24.0,Jaguar
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75,Mahindra
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.3,1582.0,126.32,5.0,5.25,Hyundai
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.3,2755.0,171.5,7.0,19.25,Toyota
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.0,1196.0,73.0,5.0,3.91,Maruti
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.0,624.0,37.5,4.0,2.15,Tata
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.6,1995.0,190.0,5.0,20.75,BMW
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.0,1799.0,130.0,5.0,3.35,Honda
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.9,2494.0,100.6,7.0,11.11,Toyota
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.0,1984.0,150.0,5.0,20.0,Volvo
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.1,1198.0,75.94,5.0,6.55,Nissan
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.0,2497.0,215.0,5.0,7.0,BMW
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.0,1248.0,88.5,5.0,7.5,Maruti
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,94.0,5.0,0.85,Hyundai
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75,Mercedes-Benz
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,Hyundai
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.0,998.0,67.1,5.0,2.45,Maruti
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.0,624.0,37.48,4.0,3.23,Tata
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.0,2179.0,120.0,8.0,7.75,Mahindra
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.0,1796.0,178.0,5.0,9.35,Mercedes-Benz
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,37.24,998.0,58.16,5.0,3.25,Maruti
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.0,2354.0,152.0,5.0,5.25,Honda
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.2,1498.0,103.2,5.0,7.25,Volkswagen
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.7,1373.0,91.1,5.0,7.47,Maruti
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25,Mahindra
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.0,1197.0,85.8,5.0,5.81,Maruti
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.0,998.0,67.1,5.0,2.6,Maruti
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0,Mercedes-Benz
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5,Hyundai
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.0,796.0,46.3,5.0,1.6,Maruti
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.5,1995.0,143.0,5.0,17.22,BMW
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0,Honda
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.0,1799.0,130.0,5.0,3.95,Honda
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.2,2143.0,170.0,5.0,17.95,Mercedes-Benz
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.0,1498.0,98.6,5.0,3.7,Honda
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43,Maruti
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,94.0,5.0,1.67,Hyundai
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.0,2982.0,171.0,7.0,13.49,Toyota
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.0,1199.0,76.8,5.0,2.85,Chevrolet
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.1,1498.0,103.52,5.0,4.75,Skoda
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.7,1373.0,91.1,5.0,9.9,Maruti
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.0,2894.0,444.0,4.0,37.0,Audi
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.7,1995.0,190.0,5.0,26.5,BMW
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.1,1968.0,174.33,5.0,23.32,Audi
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.0,1248.0,74.0,5.0,6.25,Maruti
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.8,5461.0,362.9,5.0,30.0,Mercedes-Benz
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.6,1498.0,103.52,5.0,9.86,Skoda
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.0,1968.0,138.1,5.0,8.5,Skoda
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.0,814.0,55.2,5.0,4.23,Hyundai
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.0,1199.0,73.9,5.0,3.5,Volkswagen
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.6,1198.0,67.06,5.0,2.5,Datsun
Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.0,1198.0,86.8,5.0,2.39,Honda
Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.0,1595.0,120.7,5.0,11.25,Mercedes-Benz
Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11,Honda
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.9,2494.0,100.6,7.0,10.9,Toyota
Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.0,1197.0,81.8,5.0,6.2,Maruti
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,15.0,2179.0,140.0,7.0,7.9,Mahindra
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.0,1498.0,89.84,5.0,4.42,Ford
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5,Toyota
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,21.0,1498.0,108.5,5.0,6.25,Volkswagen
Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1,Ford
BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.0,2993.0,258.0,5.0,45.0,BMW
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.2,2143.0,167.62,5.0,33.66,Mercedes-Benz
Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,19.0,1198.0,86.8,5.0,3.65,Honda
Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.3,1197.0,78.9,5.0,2.75,Hyundai
Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.0,2143.0,170.0,5.0,42.5,Mercedes-Benz
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.0,1197.0,81.86,5.0,6.5,Hyundai
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,Second,17.6,1968.0,174.33,5.0,19.0,Audi
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,Second,14.0,1598.0,103.6,5.0,4.45,Volkswagen
Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,16.0,1998.0,112.0,5.0,23.0,Mini Countryman
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.5,1396.0,88.73,5.0,8.35,Hyundai
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,First,17.6,1968.0,174.33,5.0,22.95,Audi
Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.4,936.0,57.6,5.0,1.5,Chevrolet
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,Automatic,First,13.0,1798.0,157.75,5.0,6.89,Skoda
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,17.0,1399.0,68.0,5.0,1.45,Ford
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.4,1995.0,190.0,5.0,33.5,BMW
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Petrol,Manual,First,12.0,1598.0,102.5,5.0,1.25,Chevrolet
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.0,1199.0,73.9,5.0,4.2,Volkswagen
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,Manual,First,19.9,1461.0,108.5,8.0,6.75,Renault
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0,Mercedes-Benz
Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.0,1197.0,83.1,5.0,7.5,Maruti
Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,22.3,1582.0,126.32,5.0,4.6,Hyundai
Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,First,19.8,1086.0,68.05,5.0,4.04,Hyundai
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,Manual,First,15.0,1997.0,120.0,7.0,10.31,Mahindra
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,Automatic,First,12.0,2179.0,187.7,5.0,55.76,Land Rover
Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,Ford
Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.4,1248.0,88.5,7.0,8.5,Maruti
Honda City 1.5 GXI,Ahmedabad,2007,60006,Petrol,Manual,First,0.0,1493.0,94.0,5.0,2.95,Honda
Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.0,1498.0,98.6,5.0,3.5,Honda
Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.3,1197.0,78.9,5.0,3.55,Hyundai
Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.0,1498.0,98.6,5.0,3.25,Honda
Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.0,1896.0,106.0,5.0,4.5,Skoda
Renault Duster 85PS Diesel RxL,Delhi,2014,90000,Diesel,Manual,First,19.8,1461.0,83.8,5.0,5.35,Renault
Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.4,1493.0,100.0,7.0,6.5,Mahindra
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.0,1248.0,88.5,5.0,9.0,Maruti
Hyundai i20 Asta Option 1.2,Kochi,2016,61012,Petrol,Manual,First,18.0,1197.0,81.83,5.0,6.0,Hyundai
Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,Petrol,Manual,First,14.0,1390.0,85.0,5.0,2.75,Skoda
